question,ans1,ans2,ans3
?,anybody have a list of all the runtimes and maybe equations to cram last sec,Yeah but two levels,i believe increasing weight
How do we do this?,what do you mean weight for the vertex?,heapifyUp and heapifyDown all have O(logn) time right,oh nvm
what do you mean weight for the vertex?,heapifyUp and heapifyDown all have O(logn) time right,oh nvm,i believe so yeah
can anybody explain how to do this problem?,does someone understrand this?,i knew that 3 was right,lol
does someone understrand this?,i knew that 3 was right,lol,lmao
why is the answer disjoint sets?,so only the 2nd option is true,you can group together numbers that are equal to each other into their own set,the second option is false
why is 2 wrong?,the test today is at 7 right,idk,check your cbtf thing lmao
what things do u guys think will be on the test from the previous midterms?,avl trees?,can someone explain the difference between using path compression and no path compression?,"like in the example i ended up having b->a->h, with path compression does that just turn into b->h, a->h?"
avl trees?,can someone explain the difference between using path compression and no path compression?,"like in the example i ended up having b->a->h, with path compression does that just turn into b->h, a->h?",wait what is the total amount of edges in a graph with vertex deg 6
can someone explain the difference between using path compression and no path compression?,"like in the example i ended up having b->a->h, with path compression does that just turn into b->h, a->h?",wait what is the total amount of edges in a graph with vertex deg 6,wouldn't it just be 6n/2
"like in the example i ended up having b->a->h, with path compression does that just turn into b->h, a->h?",wait what is the total amount of edges in a graph with vertex deg 6,wouldn't it just be 6n/2,is it a complete graph
Does it matter if the question says using path compression or not?,yes,I think in B C union union calls find and it hits the root it is not directly connected to the root so  b becomes directly connected to the root,so index in array is 7 but index 7 does not change
"if two items are in the same set, and path compression is used, something a value has to be updated?",these prim algo problems make me feel deep personal pain,i think so,Like this right?
Like this right?,not sure how to do this one,"so like i u have a->b->c and u call union(a,c) i think it changes the tree to a->c and b->c",Thanks
"Or wait same if you call union(a,b)?",Is it true then when unioning with path compression,can someone explain this,any time we hit a node that is indirectly connected to the root we will make it directly connected tot he root
and we're compressing the paths?,just run the hash function for all of the options and see if it matches the table they give,yeah,i think if they are part of the same set already it just compresses the path
does it matter how many nodes it has?,i don't think so,how does heaps being complete trees make it good?,"like they are efficient because they are complete trees, but why?"
how does heaps being complete trees make it good?,"like they are efficient because they are complete trees, but why?",It is all distractors from the actual question.,I'm really confused on the double hashing problems. It's just giving us numbers for h1(k) and h2(k). how does that tell us where to put the numbers we're inserting in the table?
"like they are efficient because they are complete trees, but why?",It is all distractors from the actual question.,I'm really confused on the double hashing problems. It's just giving us numbers for h1(k) and h2(k). how does that tell us where to put the numbers we're inserting in the table?,"This is for the case where the element is not found. When there is empty space, there will be a constant time lookup. However, when there is no empty space, the entire array will be searched making it O(n)"
